Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Season,Home_form_rolling,Home_win_rate_rolling,Away_form_rolling,Away_win_rate_rolling,Avg_Odds_H,Avg_Odds_D,Avg_Odds_A,Implied_Prob_H,Implied_Prob_D,Implied_Prob_A
E0,2017-01-10,Arsenal,Brighton,2,0,H,1,0,H,K Friend,25,9,12,1,7,8,6,5,0,2,0,0,1.2,6.5,13.0,1.22,6.0,12.0,1.25,6.5,10.0,1.25,5.8,13.0,1.27,6.65,12.35,1.22,6.0,13.0,1.25,6.5,12.0,38,1.27,1.24,6.65,6.16,14.0,12.23,33,1.63,1.55,2.62,2.43,17,-1.75,1.98,1.94,1.98,1.93,1.26,6.65,13.5,2017-2018,0.0,0.0,0.0,0.0,1.2349999999999999,6.358333333333333,12.058333333333332,0.7712168976580471,0.14979599506280808,0.07898710727914485
E0,2017-01-10,Everton,Burnley,0,1,A,0,1,A,J Moss,23,5,4,2,14,7,9,3,2,2,0,0,1.67,3.6,5.75,1.62,3.7,5.5,1.7,3.7,5.0,1.67,3.6,5.5,1.68,3.81,6.2,1.62,3.6,6.0,1.67,3.75,6.0,37,1.7,1.65,3.9,3.71,6.2,5.74,33,2.18,2.08,1.8,1.75,17,-0.75,1.89,1.86,2.06,2.01,1.71,3.77,5.75,2017-2018,0.0,0.0,0.0,0.0,1.66,3.6933333333333334,5.741666666666667,0.5751843137633099,0.2585214695434371,0.166294216693253
E0,2017-01-10,Newcastle,Liverpool,1,1,D,1,1,D,C Pawson,8,17,5,2,11,6,1,5,1,1,0,0,5.0,3.8,1.67,5.0,4.0,1.67,4.6,3.75,1.75,4.6,3.9,1.7,5.09,4.17,1.71,5.0,3.75,1.7,5.2,4.0,1.7,38,5.2,4.82,4.17,3.9,1.77,1.71,34,1.73,1.68,2.3,2.18,17,0.75,2.01,1.96,1.95,1.91,5.02,4.14,1.72,2017-2018,0.0,0.0,0.0,0.0,4.9816666666666665,3.9116666666666666,1.7,0.1921623566983946,0.24472658038836875,0.5631110629132368
E0,2017-02-12,Arsenal,Man United,1,3,A,0,2,A,A Marriner,33,8,15,4,11,10,12,1,3,2,0,1,2.5,3.39,3.0,2.45,3.25,3.0,2.5,3.2,2.95,2.37,3.3,2.9,2.44,3.42,3.14,2.5,3.2,3.0,2.45,3.4,3.1,35,2.52,2.44,3.5,3.31,3.2,2.99,31,2.01,1.93,1.95,1.89,20,-0.25,2.14,2.1,1.85,1.8,2.32,3.43,3.36,2017-2018,1.0,1.0,0.0,0.0,2.473333333333333,3.31,3.0316666666666667,0.390158107317364,0.2915380822049185,0.3183038104777175
E0,2017-02-12,Watford,Tottenham,1,1,D,1,1,D,M Atkinson,6,8,2,2,16,8,7,2,4,1,0,1,5.0,4.0,1.72,4.75,3.9,1.72,4.5,3.6,1.8,4.75,3.9,1.67,5.14,4.18,1.7,5.0,3.8,1.73,5.0,4.1,1.73,35,5.3,4.9,4.2,3.93,1.8,1.7,30,1.75,1.69,2.26,2.18,19,0.75,2.02,1.99,1.94,1.89,5.26,4.44,1.65,2017-2018,0.0,0.0,0.0,0.0,4.898333333333333,3.9299999999999997,1.7333333333333334,0.19714701501932383,0.24572310311356774,0.5571298818671083
E0,2017-02-12,Stoke,Swansea,2,1,H,2,1,H,C Pawson,10,10,3,3,12,10,2,6,2,0,0,0,1.95,3.39,4.5,1.95,3.3,4.25,1.9,3.5,4.1,1.91,3.3,4.25,1.96,3.41,4.61,1.95,3.4,4.2,1.95,3.4,4.6,35,1.98,1.93,3.5,3.34,4.61,4.36,30,2.3,2.19,1.74,1.68,19,-0.5,1.96,1.93,1.99,1.96,1.81,3.68,5.13,2017-2018,0.0,0.0,0.0,0.0,1.9433333333333331,3.4,4.376666666666666,0.4961326576767644,0.28357386218191527,0.22029348014132036
E0,2017-02-12,West Brom,Crystal Palace,0,0,D,0,0,D,M Oliver,20,10,6,2,11,10,3,7,3,1,0,0,2.5,3.2,3.2,2.5,3.1,3.1,2.5,3.1,3.0,2.4,3.0,3.1,2.52,3.17,3.25,2.5,3.1,3.1,2.5,3.2,3.2,35,2.57,2.47,3.2,3.1,3.35,3.12,33,2.51,2.39,1.62,1.57,20,-0.25,2.15,2.1,1.83,1.8,2.73,3.1,3.02,2017-2018,0.0,0.0,0.0,0.0,2.5033333333333334,3.145,3.141666666666667,0.38568500496446806,0.30699463564209384,0.3073203593934382
E0,2017-02-12,Brighton,Liverpool,1,5,A,0,2,A,G Scott,6,12,2,6,8,7,2,2,1,0,0,0,7.5,4.5,1.5,6.25,4.5,1.5,6.5,4.2,1.5,7.0,4.2,1.5,7.58,4.55,1.5,6.5,4.5,1.5,7.5,4.5,1.5,35,7.58,6.92,4.55,4.34,1.54,1.49,30,1.85,1.77,2.12,2.05,20,1.0,2.13,2.09,1.84,1.8,7.25,4.39,1.53,2017-2018,-1.0,0.0,0.0,0.0,6.971666666666667,4.458333333333333,1.5,0.13866709673145955,0.2168390525711011,0.6444938506974393
E0,2017-02-12,Leicester,Burnley,1,0,H,1,0,H,P Tierney,16,14,3,4,3,11,10,7,0,2,0,0,1.83,3.6,5.0,1.83,3.5,4.6,1.9,3.5,4.1,1.8,3.4,4.8,1.83,3.64,5.05,1.75,3.6,5.0,1.83,3.6,5.0,35,1.9,1.8,3.7,3.54,5.25,4.77,31,2.27,2.16,1.76,1.7,19,-0.75,2.15,2.08,1.84,1.81,2.1,3.27,4.2,2017-2018,0.0,0.0,1.0,1.0,1.8283333333333334,3.5733333333333337,4.791666666666667,0.5281990511783234,0.2702585630329388,0.20154238578873768
E0,2017-02-12,Everton,Huddersfield,2,0,H,0,0,D,C Kavanagh,6,5,4,3,12,9,2,5,2,1,0,0,1.72,3.79,5.5,1.7,3.7,5.25,1.7,3.7,5.0,1.7,3.5,5.2,1.72,3.82,5.63,1.73,3.5,5.5,1.67,3.8,6.0,34,1.75,1.71,3.85,3.68,6.0,5.3,30,2.12,2.04,1.85,1.79,19,-0.75,1.95,1.91,2.03,1.97,1.86,3.52,5.01,2017-2018,-1.0,0.0,0.0,0.0,1.7066666666666668,3.7183333333333337,5.4799999999999995,0.5648369167159981,0.2592528026522555,0.1759102806317464
