Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Season,Home_form_rolling,Home_win_rate_rolling,Away_form_rolling,Away_win_rate_rolling,Avg_Odds_H,Avg_Odds_D,Avg_Odds_A,Implied_Prob_H,Implied_Prob_D,Implied_Prob_A
E0,2020-01-11,19:15,Tottenham,Brighton,2,1,H,1,0,H,G Scott,9,6,3,2,14,13,4,5,2,1,0,0,1.61,4.0,5.5,1.62,4.25,5.0,1.65,3.9,5.0,1.65,4.26,5.54,1.63,4.0,5.25,1.62,4.2,5.25,1.67,4.3,5.75,1.63,4.17,5.29,1.66,2.2,1.68,2.32,1.71,2.35,1.65,2.26,-1.0,2.02,1.77,2.15,1.8,2.16,1.84,2.09,1.8,1.55,4.33,6.0,1.57,4.25,5.5,1.6,4.2,5.75,1.61,4.36,5.77,1.57,4.0,6.0,1.57,4.2,5.75,1.63,4.45,6.39,1.59,4.29,5.62,1.66,2.2,1.68,2.32,1.72,2.37,1.65,2.27,-1.0,2.06,1.84,2.11,1.84,2.13,1.99,2.02,1.86,2020-2021,0.0,0.0,0.0,0.0,1.6300000000000001,4.101666666666667,5.256666666666667,0.5856577570965599,0.2327400595044435,0.18160218339899664
E0,2020-01-11,16:30,Man United,Arsenal,0,1,A,0,0,D,M Dean,8,7,2,2,12,12,6,3,3,3,0,0,2.0,3.6,3.6,2.0,3.7,3.6,2.05,3.45,3.55,2.05,3.78,3.73,2.05,3.6,3.6,2.05,3.6,3.5,2.1,3.85,3.76,2.04,3.66,3.58,1.72,2.1,1.76,2.19,1.81,2.22,1.74,2.12,-0.5,2.05,1.85,2.05,1.88,2.09,1.9,2.04,1.84,1.95,3.6,3.8,1.95,3.6,3.9,2.0,3.5,3.8,2.02,3.65,3.97,2.0,3.5,3.8,1.95,3.5,4.0,2.06,3.75,4.0,1.99,3.59,3.87,1.9,1.9,1.96,1.96,1.99,2.1,1.88,1.95,-0.5,2.0,1.9,2.03,1.9,2.05,1.92,2.0,1.88,2020-2021,0.0,0.0,0.0,0.0,2.033333333333333,3.6216666666666666,3.596666666666667,0.47019568734223904,0.2639846933076538,0.2658196193501073
E0,2020-01-11,14:00,Newcastle,Everton,2,1,H,0,0,D,S Attwell,11,15,4,4,9,10,5,4,2,4,0,0,3.7,3.4,2.05,3.75,3.4,2.05,3.55,3.3,2.1,3.82,3.56,2.09,3.7,3.4,2.05,3.5,3.5,2.05,4.0,3.59,2.15,3.71,3.47,2.06,1.8,2.0,1.86,2.07,1.88,2.08,1.82,2.01,0.25,2.05,1.75,2.15,1.8,2.17,1.83,2.12,1.77,3.3,3.3,2.25,3.3,3.3,2.25,3.15,3.35,2.3,3.34,3.43,2.33,3.4,3.25,2.25,3.3,3.3,2.25,3.62,3.5,2.34,3.34,3.33,2.27,2.0,1.8,2.12,1.81,2.14,1.92,2.04,1.8,0.25,1.95,1.95,1.93,2.0,1.99,2.03,1.93,1.95,2020-2021,0.0,0.0,0.0,0.0,3.67,3.4266666666666663,2.065,0.25985828382284804,0.27831125533945106,0.46183046083770085
E0,2020-01-11,12:00,Aston Villa,Southampton,3,4,A,0,3,A,D England,19,9,10,4,12,17,11,1,1,2,0,0,2.45,3.5,2.8,2.35,3.6,2.85,2.5,3.35,2.75,2.53,3.72,2.81,2.5,3.5,2.75,2.4,3.6,2.8,2.6,3.84,2.85,2.46,3.6,2.78,1.66,2.2,1.66,2.37,1.69,2.38,1.65,2.27,0.0,1.83,2.07,1.87,2.07,1.87,2.09,1.83,2.05,2.6,3.5,2.62,2.5,3.6,2.7,2.55,3.5,2.7,2.69,3.56,2.73,2.6,3.5,2.62,2.5,3.6,2.7,2.7,3.7,2.8,2.57,3.55,2.69,1.66,2.2,1.7,2.29,1.71,2.37,1.66,2.24,0.0,1.93,1.97,1.95,1.98,1.97,2.04,1.89,1.98,2020-2021,0.0,0.0,0.0,0.0,2.455,3.5450000000000004,2.7933333333333334,0.3888927616143309,0.26931783632247736,0.34178940206319175
E0,2020-02-11,20:00,Leeds,Leicester,1,4,A,0,2,A,A Marriner,11,10,4,8,9,5,10,3,1,1,0,0,2.5,3.6,2.62,2.6,3.6,2.6,2.55,3.3,2.7,2.59,3.65,2.79,2.55,3.5,2.7,2.63,3.5,2.63,2.66,3.72,2.82,2.56,3.56,2.68,1.72,2.1,1.76,2.19,1.81,2.19,1.75,2.1,0.0,1.93,1.97,1.89,2.04,1.98,2.05,1.9,1.97,2.4,3.7,2.75,2.4,3.6,2.8,2.4,3.35,2.85,2.42,3.71,2.97,2.45,3.5,2.8,2.4,3.6,2.8,2.58,3.83,2.98,2.41,3.63,2.84,1.61,2.3,1.64,2.4,1.66,2.47,1.61,2.33,-0.25,2.1,1.8,2.1,1.85,2.17,1.87,2.1,1.81,2020-2021,0.0,0.0,0.0,0.0,2.57,3.525,2.6733333333333333,0.37168853656307915,0.27098994013251443,0.35732152330440653
E0,2020-02-11,17:30,Fulham,West Brom,2,0,H,2,0,H,S Hooper,13,10,6,1,13,11,5,2,3,2,0,0,2.4,3.3,3.0,2.4,3.3,3.0,2.45,3.1,3.0,2.47,3.4,3.13,2.4,3.3,3.0,2.45,3.25,3.0,2.56,3.5,3.17,2.44,3.32,3.01,2.0,1.8,2.13,1.8,2.14,1.85,2.06,1.78,-0.25,2.1,1.8,2.11,1.84,2.15,1.86,2.1,1.8,2.4,3.3,3.0,2.45,3.3,2.95,2.4,3.05,3.1,2.48,3.32,3.19,2.4,3.2,3.1,2.4,3.25,3.1,2.48,3.45,3.22,2.41,3.27,3.09,2.05,1.85,2.05,1.88,2.11,1.92,2.02,1.81,-0.25,2.06,1.84,2.11,1.84,2.12,1.87,2.08,1.82,2020-2021,0.0,0.0,0.0,0.0,2.4283333333333332,3.275,3.0216666666666665,0.392909368616682,0.29133279902010467,0.31575783236321325
E0,2020-03-10,12:30,Chelsea,Crystal Palace,4,0,H,0,0,D,M Oliver,17,4,6,0,17,13,8,5,2,0,0,0,1.4,4.75,8.0,1.42,4.75,7.5,1.47,4.5,6.75,1.43,4.86,7.79,1.42,4.6,8.0,1.4,4.75,8.0,1.47,5.0,8.0,1.43,4.77,7.39,1.61,2.3,1.63,2.41,1.67,2.41,1.62,2.33,-1.25,1.99,1.94,2.01,1.92,2.01,1.98,1.96,1.92,1.5,4.33,6.5,1.5,4.33,6.5,1.6,3.95,5.75,1.56,4.31,6.67,1.52,4.2,6.5,1.53,4.2,6.5,1.6,4.6,7.12,1.53,4.28,6.41,1.72,2.1,1.81,2.11,1.83,2.19,1.76,2.08,-1.0,1.93,2.0,1.95,1.97,1.95,2.08,1.9,1.98,2020-2021,0.0,0.0,0.0,0.0,1.4233333333333331,4.701666666666667,7.673333333333333,0.6719434809156103,0.20341713318040805,0.12463938590398156
E0,2020-03-10,17:30,Leeds,Man City,1,1,D,0,1,A,M Dean,12,23,7,2,11,12,7,10,2,1,0,0,7.5,5.25,1.36,7.0,5.25,1.4,7.0,5.0,1.4,7.98,5.31,1.37,8.0,5.0,1.38,7.5,5.5,1.36,8.4,5.7,1.42,7.45,5.34,1.38,1.36,3.2,1.39,3.17,1.4,3.4,1.37,3.11,1.5,1.88,2.05,1.88,2.03,1.93,2.08,1.87,2.01,8.0,7.5,1.25,8.0,6.5,1.3,9.0,6.0,1.3,8.85,7.49,1.28,8.5,6.5,1.29,9.0,6.5,1.29,9.3,7.66,1.33,8.59,6.64,1.29,1.3,3.5,1.33,3.57,1.36,3.66,1.32,3.39,1.75,1.98,1.95,1.99,1.93,2.03,2.02,1.91,1.96,2020-2021,-1.0,0.0,0.0,0.0,7.496666666666667,5.218333333333333,1.3783333333333332,0.12697545818615652,0.1824131622233574,0.6906113795904861
E0,2020-03-10,20:00,Newcastle,Burnley,3,1,H,1,0,H,D Coote,10,7,5,3,13,17,3,4,2,3,0,0,2.4,3.2,3.1,2.45,3.1,3.1,2.5,2.95,3.05,2.51,3.2,3.12,2.45,3.1,3.1,2.4,3.13,3.2,2.55,3.28,3.2,2.47,3.15,3.08,2.3,1.61,2.35,1.67,2.4,1.68,2.31,1.62,-0.25,2.08,1.85,2.14,1.8,2.16,1.87,2.1,1.8,2.37,3.25,3.1,2.4,3.2,3.1,2.45,3.05,3.05,2.45,3.38,3.17,2.35,3.2,3.2,2.4,3.25,3.1,2.5,3.4,3.32,2.4,3.27,3.12,2.1,1.72,2.11,1.81,2.16,1.83,2.08,1.76,-0.25,2.07,1.86,2.1,1.85,2.12,1.87,2.07,1.83,2020-2021,1.0,1.0,0.0,0.0,2.4516666666666667,3.1133333333333333,3.111666666666667,0.38829398442907676,0.3057711194299635,0.30593489614095976
E0,2020-03-10,15:00,Everton,Brighton,4,2,H,2,1,H,S Hooper,11,11,6,3,13,14,3,10,0,1,0,0,1.72,3.75,4.8,1.75,3.6,5.0,1.73,3.75,5.0,1.78,3.82,4.82,1.75,3.6,5.0,1.73,3.8,4.8,1.81,3.85,5.1,1.76,3.73,4.79,1.8,2.0,1.83,2.09,1.88,2.12,1.83,2.0,-0.75,2.0,1.93,2.03,1.89,2.06,1.96,1.99,1.89,1.75,3.75,4.75,1.78,3.7,4.5,1.75,3.75,4.8,1.81,3.86,4.78,1.75,3.6,5.0,1.8,3.75,4.5,1.83,3.9,5.19,1.79,3.76,4.61,1.72,2.1,1.74,2.23,1.77,2.26,1.71,2.15,-0.75,2.07,1.86,2.07,1.88,2.09,1.97,2.03,1.86,2020-2021,-1.0,0.0,-1.0,0.0,1.7433333333333334,3.72,4.903333333333333,0.5481919845376919,0.2569035913200832,0.19490442414222495
